ID,L_Name,F_Name,Class,Major 1,Major 2,Minor 1,Advisor
AAM  287  01
18048807,Groat,Lucas,01,EXP,,,Rydze
13330778,Cadien,Lauden,04,EXP,,,Falk
10700808,Lenoch,Thomas,01,EXP,,,Kelley
17736790,Frana,Sean,02,BIO,ENV,,Ellis
13562798,Buck,LaNyia,03,EXP,,,Eichhorn
15446813,Moran,Shae,01,EXP,,,Carr
12493813,Dickson,Anisa,01,EXP,,,Miller
19005767,Kline,Addie,03,EXP,,,Johnson
13351785,Ekstrom,Analise,04,PSY,AAM,,Brown
10168782,John,Alexa,04,BUS,,PHL,Donofrio
13390775,Hower,Supy,04,HIS,,,Atwater
10718789,Hein-Harrison,Estela,04,ECO,BUS,,Baranowski
16685796,Varner,Cael,04,AAM,HIS,,McNabb
19769809,Jadkarim,Andrew,01,EXP,,,Johnson
11218772,Wilhelmi,Daniyal,04,PSY,AAM,,Kelly
19667788,Collins,Ashley,03,KIN,,SPA,Rydze
11550793,Linnear,Josie,02,EXP,,,Falk
10918788,Prostine,Aidan,04,HIS,,SEC,Arnold
18466780,Hyatt,Talia,04,PSY,KIN,,Rydze
17808814,Montoya,Toobejay,01,EXP,,,Westberg
10107774,Ward,Victoria,04,AAM,SCJ,HIS,Rodgers
10038786,Smith,Jelani,04,POL,EVS,,Lanegran
14473796,Plesha,Will,02,EXP,,,Atwater
10088787,Kuehner,Bryce,04,PSY,KIN,,Kelly
AAM  137  01   W
11601808,Craig,Leah,01,EXP,,,Miller
14314800,Williams,Jordan,01,ELM,AAM,SPA,Johnson
15654794,Costello,Valerie,02,EXP,,,Kensky
16056801,Drahozal,Sarah,02,EXP,,,Leonardo
18638801,Voss,Joi-Damaris,02,EXP,,,Rydze
14853797,Fink,Gregory,02,BUS,,,Nguyen
12481793,Singleton,Qariah,03,PSY,,CRW,Kelly
11281804,Barreras,Brayden,01,EXP,,,Barnett
19529802,Askew,Tamara,02,EXP,,,Stobb
ACC  171  01
18687799,Shelby,Diedrich,01,EXP,,,Atwater
11121808,Loza,Adam,01,EXP,,,Rydze
19420812,Arduser,Ryan,01,EXP,,,Brown
12339771,Frost,Katherine,,EXP,,,Eichhorn
15715803,Floyd,Lilly,01,EXP,,,Barnett
15135808,Strauel,James,01,EXP,,,Lanegran
11232815,Stevenson,Qariah,01,EXP,,,Atwater
14015811,Gosch,Taylor,01,EXP,,,Chen
18438808,Epps,Katie,01,EXP,,,St. Clair
14453791,Hardman,Will,02,EXP,,,Perry
19309808,Cavanagh,Risako,01,EXP,,,St. Clair
12901798,Osterman,Majad,02,EXP,,,Westberg
18166784,Krueger,Adolfo,04,ECO,,,Lensing
14235815,Thomasson,John,01,EXP,,,Johnson
10740809,Meyer,Alexander,01,EXP,,,Lanegran
10760809,Petrovic,Trisan,01,EXP,,,Atwater
15886812,Chaney-Pruitt,Delano,01,EXP,,,Rodriguez Moreno
11561801,Camargo,Nicholas,02,EXP,,,Atwater
19886777,Chambless,James,02,EXP,,,Kuennen
11242815,Christiansen,Kaylei,01,EXP,,,Chaimov
13813807,Welch,Sophie,01,EXP,,,Nguyen
14115814,Powell,Myrna,01,EXP,,,Chen
18479813,Kintopf,John,01,EXP,,,Chaimov
14783793,Lona Garcia,Olivia,02,CS,,,Hostetler
18519810,Arens,Abigail,01,EXP,,,Westberg
12251797,Green,Jessica,03,EXP,,,Rydze
12743812,Manternach,Alex,01,EXP,,,Christensen
19678797,Piceno,Sami,03,COM,PR,ART,Carstens
11942813,Eggert,Julia,02,EXP,,,Carstens
ACC  171  02
19109806,Nelson,Skye,01,EXP,,,Brown
18058807,Hernandez,Harry,01,EXP,,,Atwater
19629807,Finch,Torrie,01,EXP,,,Herron
19889807,Petzold,Jayla,01,EXP,,,Hausknecht
10790808,Tredway,Will,01,EXP,,,Chen
11291803,Lawson,Gavin,02,EXP,,,Rydze
11351808,Hesley,Chris,01,EXP,,,Chen
10251815,Shchekin,Adrianna,02,EXP,,,Eichhorn
14735813,Stitt,Lydia,01,EXP,,,Herron
14745813,Floyd,Lirio,01,EXP,,,Atwater
14474804,Benson,Cole,02,EXP,,,Barrow
15645808,Twight,Abigail,01,EXP,,,Chen
18819811,McCoy,Skyler,01,EXP,,,Brown
11621809,Stiles,Adam,01,EXP,,,Miller
16057812,Staley,Gracie,01,EXP,,,Carr
17698811,Comparato,Abigail,01,EXP,,,Atwater
19279803,Anthony,Patrick,01,EXP,,,Bragatto
18399811,Koons,Thomas,01,EXP,,,Cross
14345811,McCrary,Leilani,01,EXP,,,Lanegran
19559801,Butler,Mikayla,02,EXP,,,Bragatto
14475810,Mouring,Jarad,01,EXP,,,Hausknecht
13842793,He,Kalynn,03,EXP,,,Kuennen
14675814,Ellsworth,Kellie,01,EXP,,,Westberg
11792812,Sar,Sunny,01,EXP,,,Herron
11182814,Boettger,Cassidy,01,EXP,,,Chihak
19800810,Mahler,Kane,01,EXP,,,Bragatto
15195804,Ausenhus,Jelica,02,EXP,,,Baranowski
10060803,Webb,Alexandra,01,EXP,,,Stead
11182815,Northrop,Jack,01,EXP,,,Johnson
11162811,McCune,Aubree,01,EXP,,,Rydze
ACC  171  03
12803815,Collins,Izabel,01,EXP,,,Atwater
18838807,Jowosimi,Kaleb,01,EXP,,,Chen
18618804,Huynh,Jaden,01,EXP,,,Kensky
14205815,Jones,Moet,02,EXP,,,Melcher
13783808,Nepple,Bree,01,EXP,,,Perry
18109812,Jankowski,Peculiar,01,EXP,,,St. Clair
13414813,Chaney-Pruitt,Logan,01,EXP,,,Brown
14384803,Coleman,Jasmine,02,ECO,,,Barrow
18219815,Morrison,Fiona,01,EXP,,,Chen
17837806,Mills,Paige,01,EXP,,,Herron
14875815,Sosa,Dylan,01,EXP,,,Chaimov
10481815,Garcia,Diana,01,EXP,,,Cross
14374806,Bechdol,Lucas,02,EXP,,,Hayes
16186809,Goode,Tory,01,EXP,,,Chaimov
15433789,Yuma,Luke,01,EXP,,,Brown
14565815,Lawton,James,01,EXP,,,Hausknecht
18968809,Richards,MJ,01,EXP,,,Nesmith
19719809,Ridenour,Chloe,01,EXP,,,Miller
12623810,Bicknell,Cailyn,01,EXP,,,Herron
14975811,Schuler,Max,01,EXP,,,Carr
10890804,Noor,Elise,02,EXP,,,Christensen
10900804,Brazell,Garima,01,EXP,,,Recker
16557815,Arens,Garrison,02,EXP,,,Kuennen
16567815,Salmi-Perry,Jerry,01,EXP,,,St. Clair
18439810,Reimnitz,Raymond,01,EXP,,,Johnson
18939812,Silver,Luke,01,EXP,,,Perry
18539815,Vroman,Shannon,01,EXP,,,Rydze
13004814,Tidman,Lilly,01,EXP,,,Atwater
ACC  215  01
16635799,Washington,Katie,02,EXP,,,Leonardo
13582790,Johanns,Clayton,02,EXP,,,Atwater
12760788,Chieng,Berrigan,03,BUS,PR,,Carstens
16155790,Ortega,Ethan,03,EXP,,,Chen
19718799,Becher,Jack,02,EXP,,,Melcher
11621804,Schiesher,Meagan,02,BUS,COM,,Eichhorn
15675803,Hughes,John,02,EXP,,,Melcher
18688803,Patel,Monét,01,EXP,,,Rydze
12512806,Velez,Addie,01,EXP,,,Westberg
18728803,Brockmeyer,Adam,02,EXP,,,Libby
19019800,Klein,Alex,02,EXP,,,Carstens
18477795,DuFour,Sophie,03,EXP,,,Chen
14732785,Ward,Mikel,04,BUS,PR,,Carstens
18707795,Dohms,Taylor,03,EXP,,,Chen
14184804,Gard,Shea,02,EXP,,,Cross
11339781,Mosinski,John,02,COM,,,Westberg
11201804,Johnson,Chloe,02,BUS,ACM,,Lanegran
17358812,Petrovic,Reagan,02,EXP,,,Westberg
10689796,Fleck,Sarah,02,ACM,,,Melcher
14732782,Rivera,Julia,04,BUS,POL,REL,Donofrio
16877812,Guthrie,Madelyn,01,EXP,,,Rodriguez Moreno
18188802,Sly,Kaylynn,02,EXP,,,Perry
14684806,Davis,Gabriella,01,EXP,,,Nguyen
12612807,Glandt,Gable,02,EXP,,,Hoover
ACC  301  01
19838799,MacFarland,Lauren,02,ACP,ACM,ECO,Perry
10340800,Baugh,Reagan,02,EXP,,,Perry
10450800,Mcluen,Cassandra,01,ACP,,,Perry
13423803,Escalante,Cassie,01,EXP,,,Nguyen
13092791,Hommowun,Allison,03,BUS,ACM,ECO,Perry
13902791,Hatfield,Keena,03,ART,,,Perry
17127800,Jones,Katie,02,EXP,,,Perry
13503804,Cota,Jasmine,02,EXP,,,Leonardo
11821804,Johnson,Ella,02,EXP,,,Carson
13233805,Palmer,Keegan,02,ACP,BUS,,Cross
14624803,Robertson,Avery,02,EXP,,,Chen
17847803,Stebral,Alfredo,02,ACP,,,Baranowski
17037802,Hoppenjans,Lauren,02,ACP,BUS,,Perry
13183806,Henderson,Sydney,02,ACP,DS,,Rodgers
14104803,Lawrence,Alli,02,BUS,ECO,,Cross
10688788,Ties,Kate,03,EXP,,,Melcher
19299802,Brown,Kayla,02,ACP,BUS,SPA,Melcher
17117803,Idohl,Daniel,02,EXP,,,Atwater
ACC  415  01
17325784,Kepros Caballero,Grifen,04,ACM,BUS,ECO,Baranowski
18957790,Schipper,Wyatt,03,BUS,ACM,COM,Christensen
15994794,Deaton,Madison,03,EXP,,,Chen
16054782,Fedrick,Xavier,04,ACM,BUS,ECO,Melcher
11328779,La Rosa,Kayla,04,ACM,BUS,,Kuennen
13962795,Dickerson,Paige,04,ACM,BUS,,Melcher
ACC  422  01
11330797,Cook,Kieran,04,ACP,BUS,,Melcher
17086797,Thomasson,Tyler,03,EXP,,,Atwater
11009784,Baker,Melodie,04,ACP,,POL,Melcher
18837791,Nguyen,Alexander,03,EXP,,,Chen
12000788,Rashed,Aaron,04,ACP,BUS,,Nguyen
18907795,Westercamp,Caelan,03,ACP,BUS,,Melcher
16465797,Rivera,Jaiden,04,ACP,BUS,,Carstens
13842796,Schloe,Donae,03,ACP,BUS,,Eichhorn
15133782,Cook,Hailey,04,ACP,BUS,,Cross
12241793,Pazour,Molly,02,ACP,BUS,,Chen
15343787,Jackson,Easton,04,ACP,BUS,,Nguyen
ANT  109  01
11340794,An,Sophia,02,EXP,,,Kensky
11529788,Kempf,Felicia,04,BIO,ENV,ANT,Ellis
13113805,Mba,Mckenzie,01,EXP,,,Johnson
10380808,Heer,Katie,01,EXP,,,Libby
14512787,McFadden,Emma,04,PHY,,CS,Affatigato
14345815,Singleton,Luis,02,EXP,,,St. Clair
11911800,Wagner,Maddox,02,HIS,,,Keenan
14114808,Nguyen,AJ,01,EXP,,,Perry
18109812,Jankowski,Peculiar,01,EXP,,,St. Clair
13763800,Billings,Tyler,02,EXP,,,Hausknecht
14234800,Doak,Tory,02,EXP,,,Akgun
18237795,Haynes,Molly,03,ELM,,,Kress
17577800,Buffington,Alexander,01,EXP,,,Akgun
18268800,Jones,Tyler,02,HIS,,ANT,Keenan
18779812,Menakaya,Kayla,01,EXP,,,Nordmann
17367809,Fedrick,Joseph,01,EXP,,,Perry
18506781,Romero,Emma,04,IS,,ANT,Lanegran
18718809,Scott,Cael,01,EXP,,,Brown
11899781,Mathis,Philip,04,HIS,,,Buckaloo
19909801,Singleton,Daniel,02,HIS,,MUS,Buckaloo
14294802,Collachia,Brady,02,EXP,,,Barnett
13863804,Ishimwe,Micah,01,EXP,,,Stead
15596812,Morris,Abdi,01,EXP,,,Keenan
17317802,Fox,Chance,02,HIS,,,Buckaloo
18858802,Hoppenjans,Parker,02,HIS,,CLA,Ziskowski
ANT  116  01
14002788,Russell,Natalie,04,BUS,ACM,,Melcher
11680794,Hangartner,Carley,03,EXP,,,Eichhorn
19179807,Verchimak,Nils,01,EXP,,,Christensen
15034790,Schulte,Emily,03,EXP,,,Chaplin
18427799,Delgado,Chase,02,BIO,SCJ,,Sanchini
16865790,Floyd,Nils,01,EXP,,,Cross
17996790,Ramos,John,04,BIO,,,Ellis
18377790,Thatcher,Olivia,04,PHY,BIO,MTH,Affatigato
12811794,Noel,Megan,03,PSY,SOC,,Rodgers
14215812,Menakaya,Amanda,01,EXP,,,Johnson
14015811,Gosch,Taylor,01,EXP,,,Chen
17572758,Goodwin,Matthew,04,HIS,ART,,Buckaloo
12503813,Fang,Orion,01,EXP,,,Rodriguez Moreno
13951781,Southard,John,02,EXP,,,Baker
18617791,Bowles,Blake,03,BIO,ENV,,St. Clair
18937791,Salrin,Claire,03,EXP,,,Cross
13693809,Pecharich,Joely,01,EXP,,,Hausknecht
13983806,Buckley,Taylor,01,EXP,,,Chaimov
12050782,Andeway,Gloria,04,KIN,,,Atwater
12651792,Fedrick,Kaiya,03,ELM,,,Kress
